CONCEPTID	CONCEPTSTATUS	FULLYSPECIFIEDNAME	CTV3ID	SNOMEDID	ISPRIMITIVE
344001	0	Ankle region structure (body structure)	Xa9oN	T-D9500	1
485005	0	Transverse colon structure (body structure)	7N313	T-59440	1
528006	0	Structure of costal surface of lung (body structure)	XUFrs	T-28001	1
661005	0	Jaw region structure (body structure)	XaA1q	T-D1213	1
716000	0	Hematologic drug (product)	x01Nw	C-A6004	1
741007	0	Operation on prostate (procedure)	XUK54	P1-78000	0
774007	0	Head and neck structure (body structure)	Xa1gI	T-D1000	1
844005	0	Behavior finding (finding)	XUM77	F-93000	1
928000	0	Disorder of musculoskeletal system (disorder)	XE1DD	D1-00000	0
955009	0	Bronchial structure (body structure)	Xa0v9	T-26000	1
1040005	0	Anterior open dislocation (morphologic abnormality)	XU13a	M-13201	1
1086007	0	Female structure (body structure)	XU2AO	T-D0AA0	1
1201005	0	Benign essential hypertension (disorder)	G201.	D3-02120	1
1490004	0	Structure of soft tissues of trunk (body structure)	XU7uJ	T-D2050	1
1679003	0	Arthritis associated with another disorder (disorder)	X703Q	D1-20404	1
1893007	0	Joint structure of shoulder girdle or upper limb (body structure)	Xa1Q0	T-15400	1
1910005	0	Entire ear (body structure)	X80zT	T-AB000	1
2033006	0	Structure of right fallopian tube (body structure)	XU9Lw	T-88010	0
2052000	0	Acute necrosis (morphologic abnormality)	XU9P7	M-54001	1
2095001	0	Nasal sinus structure (body structure)	Xa17d	T-22000	1
2255006	0	Subserosa (body structure)	XU9oK	T-1A111	1
2492009	0	Nutritional disorder (disorder)	X40Xh	D6-10000	1
2533004	3	Drug (substance)	x00xm	C-50000	1
2667000	0	Absent (qualifier value)	X80xh	G-A204	1
2704003	0	Acute disease (disorder)	XUAhT	DF-00001	0
2748008	0	Spinal cord structure (body structure)	XM0Ol	T-A7010	1
2789006	0	Apocrine gland structure (body structure)	XUAs9	T-01320	1
2841007	0	Structure of renal artery (body structure)	XUAyQ	T-46600	1
2919008	0	Nausea, vomiting and diarrhea (disorder)	XUB8A	F-52850	1
2935001	0	Poisoning by antiasthmatic (disorder)	SLF7.	DD-82750	1
2969000	0	Body space structure (body structure)	XS0v0	T-D0090	1
3092008	0	Staphylococcus aureus (organism)	X73Et	L-24801	1
3137001	0	Reimplantation (procedure)	XUBZ2	P1-05501	0
3525006	0	Humidity (physical force)	Xa3DJ	A-80240	1
3658006	0	Infancy (qualifier value)	Xa1y4	F-08000	1
3711007	0	Structure of great blood vessel (organ) (body structure)	XUCho	T-40330	1
3723001	0	Arthritis (disorder)	XM0Ai	D1-20050	0
3850002	0	Psychological function (observable entity)	XUCz5	F-90013	1
3898006	0	Neoplasm, benign (morphologic abnormality)	BB00.	M-80000	1
4131005	0	Implantation into pelvic region (procedure)	XUDb2	P1-B9570	0
4147007	0	Mass (morphologic abnormality)	XUDd6	M-03000	1
4180000	0	Both lower extremities (body structure)	XUDhG	T-D9080	0
4421005	0	Cell structure (cell structure)	XS1CR	T-E0000	1
4527007	0	Joint structure of lower extremity (body structure)	XaAtR	T-15700	1
4532008	0	Acute inflammation (morphologic abnormality)	XUEOM	M-41000	1
4748007	1	Living organism (organism)	XM0Nm	L-00000	1
4908009	0	Past history of (situation)	XUSsW	G-0003	0
4985009	0	Disorder of urethra (disorder)	X30Ou	D7-23000	0
5008001	0	Pitting edema (morphologic abnormality)	XUFKC	M-36304	1
5137004	0	Recurrent dislocation of joint (disorder)	XE1E4	D1-22360	0
5383004	0	Fracture-dislocation (morphologic abnormality)	XaDuh	M-12670	1
5476005	4	Adiposity (disorder)	X40YT	D6-11100	1
5668004	0	Lower gastrointestinal tract structure (body structure)	Xa1G7	T-50120	1
5880005	0	Physical examination procedure (procedure)	XB001	P2-01400	0
5913000	0	Fracture of neck of femur (disorder)	XE1l3	DD-13110	0
6019008	0	Endoscopy of large intestine (procedure)	XUHKP	P1-57700	0
6076005	0	Structure of gastrointestinal subserosa (body structure)	XUHR5	T-50136	1
6142004	0	Influenza (disorder)	H27..	DE-34010	0
6384001	0	Removal of device from digestive system (procedure)	XUI2s	P1-55549	0
6574001	0	Necrosis (morphologic abnormality)	XUIPo	M-54000	1
6685009	0	Structure of right ankle (body structure)	XUIdf	T-D9510	0
6696001	4	Rhinorrhea (finding)	XM00h	F-24410	1
6736007	0	Moderate (severity modifier) (qualifier value)	X793f	G-A002	1
6834003	0	Axial skeleton structure (body structure)	XU8pa	T-11010	1
6969002	0	Lymphocytic tissue structure (body structure)	XUJCX	T-C0200	1
7087005	0	Intermittent (qualifier value)	X78tj	G-A397	1
7163005	0	Urinary tract obstruction (disorder)	XaB9C	D7-10040	0
7389001	0	Time frame (qualifier value)	XUK2T	G-7000	1
7396004	2	Diagnostic imaging (procedure)	Xa85i	P5-00990	1
7402007	0	Probe, device (physical object)	X79n6	A-25000	1
7523003	0	Injury of thigh (disorder)	Xa2Cz	DD-00510	0
7571003	0	Feeling guilt (finding)	X762y	F-92650	1
7704007	0	Stabilizing appliance, device (physical object)	XUKec	A-12200	1
7748002	0	Skin appendage structure (body structure)	Xa1Xr	T-01300	1
7771000	0	Left (qualifier value)	7NB32	G-A101	1
7793005	0	Disorder of the lower urinary tract (disorder)	XUKpM	D7-20000	0
7832008	0	Abdominal aorta structure (body structure)	Xa1eI	T-42500	1
7878000	0	Accidental death (event)	XUL00	DF-D0300	0
7890003	0	Contracture of joint (disorder)	N084.	D1-22370	0
7895008	0	Poisoning by drug AND/OR medicinal substance (disorder)	XM0xj	DD-82900	0
7906001	0	Open traumatic dislocation (morphologic abnormality)	XUL3Y	M-13200	1
7947003	0	Aspirin (product)	x02LX	C-60320	1
8098009	0	Sexually transmitted infectious disease (disorder)	Xa86V	DE-01600	1
8279000	0	Structure of pelvic viscus (body structure)	XULmz	T-D6100	1
8316001	4	Arthropathy (disorder)	Xa7PJ	D1-20000	1
8609009	0	Traumatic agent (physical force)	XUMUV	A-00020	1
8613002	0	Operation on appendix (procedure)	770..	P1-57062	0
8745002	0	Gram-positive bacterium (organism)	Xa852	L-10017	1
9121000	0	Excision of lesion of large intestine (procedure)	XUNX6	P1-57320	0
9203006	2	Salicylate (product)	lb6..	C-60311	1
9356005	2	Hypoglycemic product (product)	XUO1F	C-A2002	1
9597002	2	Rodent (organism)	X78xg	L-87000	1
9656002	0	Consolidation (morphologic abnormality)	XUOjM	M-02713	1
10024003	0	Structure of base of lung (body structure)	XU04B	T-280B0	1
10052007	0	Male structure (body structure)	XU096	T-D0AB0	1
10147004	0	Fly (organism)	XU0Pf	L-60010	1
10200004	0	Liver structure (body structure)	XM0Ps	T-62000	1
10329000	0	Zinc insulin (substance)	XU0sW	C-A2240	1
10668002	0	Skin anti-infective (product)	XU1ju	C-90201	1
10725009	0	Benign hypertension (disorder)	XU1tv	D3-02010	1
10747009	0	Miscellaneous products (navigational concept)	XU1xt	C-E3600	1
10849003	0	Removal of foreign body (procedure)	XU28p	P1-03176	0
11153006	4	Structure of gastrointestinal mucous membrane (body structure)	XU2te	T-50130	1
11281008	0	Precerebral artery (body structure)	XU3B0	T-45500	1
11527006	0	Arterial system structure (body structure)	XS0gT	T-41800	1
11639007	0	Puncture (morphologic abnormality)	XaBTs	M-14300	1
11705000	0	Ribonucleic acid virus (organism)	X73kI	L-30001	1
11802008	5	Medical cardiovascular procedure (procedure)	XU4Wl	P2-30000	1
11810009	0	Operation on male genital system (procedure)	7C...	P1-76000	0
11816003	0	Diet education (procedure)	XU4Z6	PA-60110	1
11891009	0	Breath (substance)	XU4kS	T-20400	1
12263007	0	Type 1 hypersensitivity response (disorder)	X77Ux	F-C3110	1
12402003	0	Scar (morphologic abnormality)	XU66S	M-78060	1
12535006	0	Acquired absence (morphologic abnormality)	XU6SU	M-16000	1
