RELATIONSHIPID	CONCEPTID1	RELATIONSHIPTYPE	CONCEPTID2	CHARACTERISTICTYPE	REFINABILITY	RELATIONSHIPGROUP
261280021	69608005	116680003	72410000	0	0	0
1813784024	372184005	123005000	361103004	3	0	0
2941613026	2969000	116680003	91723000	0	0	0
240485027	56783008	116680003	34896006	0	0	0
1268576027	81405006	246112005	272141005	1	2	0
233865020	52731004	116680003	113345001	0	0	0
664342026	118677009	363704007	122489005	0	1	0
2768191025	312850006	116680003	417662000	0	0	0
827801028	61747003	123005000	361827000	3	0	0
14374027	181254001	116680003	116004006	0	0	0
1323857020	128482007	246112005	272141005	1	2	0
2546241023	34853001	116680003	107957009	0	0	0
3120505026	208766000	263502005	288524001	1	2	0
961495026	194791005	363698007	281159003	0	1	0
593832023	265571002	363704007	181423002	0	1	2
111425027	289883005	116680003	248842004	0	0	0
256198029	66459002	116680003	106233006	0	0	0
3043603022	45835000	405813007	12921003	0	1	1
1738546022	269466003	363698007	272673000	0	1	1
2693890022	55449009	116680003	68526006	0	0	0
1660539020	115105004	116680003	243226004	0	0	0
3003816022	73879007	116680003	363664003	0	0	0
687884026	122860000	123005000	302553009	3	0	0
553158027	245255009	123005000	38266002	3	0	0
2186828020	309297008	149016008	225419007	2	0	0
17571026	185724004	116680003	308502002	0	0	0
3105084025	128945009	263502005	288524001	1	2	0
130653024	118717007	116680003	362958002	0	0	0
71534023	252059006	116680003	310611001	0	0	0
237200024	54787006	116680003	106877009	0	0	0
281420026	367651003	116680003	108369006	0	0	0
180435022	362611007	116680003	14218005	0	0	0
665505027	304907005	123005000	128530007	3	0	0
2830579024	183944003	363589002	363787002	1	2	0
2264709028	361384001	123005000	361110005	3	0	0
75847029	255398004	116680003	282032007	0	0	0
2682340024	286738000	116680003	38904005	0	0	0
1171466020	21656000	260870009	272125009	1	2	0
769605027	39132006	272741003	24028007	0	1	0
2938216023	419901001	246456000	288526004	1	2	0
3259130029	428281000	246456000	288526004	1	2	0
2588686024	409708007	123005000	181217005	3	0	0
3152835020	38481006	263502005	288524001	1	2	0
3018348021	107944001	405813007	14742008	0	1	1
1168474025	19744006	260507000	309795001	1	2	0
126602022	118185001	116680003	106104001	0	0	0
1307543022	116223007	246456000	288526004	1	2	0
2949345025	414824005	363698007	272673000	0	1	0
2747011020	103716009	116680003	118664000	0	0	0
1163806023	16932000	246456000	288526004	1	2	0
2245577026	399902003	116680003	123946008	0	0	0
2191752023	52039009	149016008	386808001	2	0	0
454791025	181217005	123005000	302551006	3	0	0
2833854027	106190000	116680003	420134006	0	0	0
1848392023	20135006	260507000	309795001	1	2	0
1921999021	128317005	116680003	363662004	0	0	0
1943062023	223490009	116680003	363691001	0	0	0
212279023	39487003	116680003	26548008	0	0	0
2645752021	409063005	260870009	272125009	1	2	0
251627029	63653004	116680003	272181003	0	0	0
2458968024	118234003	116680003	404684003	0	0	0
1834498029	120573002	272741003	182353008	1	2	0
167600023	360028004	116680003	129314006	0	0	0
3044953020	5137004	263502005	255227004	0	1	0
153707027	122860000	116680003	118634008	0	0	0
133614027	118954006	116680003	106028002	0	0	0
1020146029	363680008	260686004	278110001	0	1	0
2626345020	206707003	408731000	410512000	0	1	0
454889025	181298001	123005000	362030008	3	0	0
609104020	280699007	123005000	302553009	3	0	0
2183972025	122544007	370124000	225308005	2	0	0
1188340022	31984004	246456000	288526004	1	2	0
1548992029	275072000	260870009	272125009	1	2	0
2831973022	416406003	363589002	71388002	1	2	0
218454026	43201005	116680003	301457005	0	0	0
838410020	65978000	363698007	78904004	0	1	1
665319028	118745001	363704007	39352004	0	1	0
1139133022	1679003	246456000	288526004	1	2	0
1668432026	127278005	116680003	123397009	0	0	0
3220107029	320672001	116680003	363661006	0	0	0
2565787028	410605003	116680003	410591008	0	0	0
328536027	198941007	116680003	38341003	0	0	0
1970432028	292670005	246075003	373231005	0	1	0
3189674020	409073007	260686004	425689005	0	1	0
1782149025	88937006	363699004	53350007	0	1	1
1309495020	118694006	260870009	272125009	1	2	0
2045285023	84100007	260686004	129265001	0	1	0
2012506021	386725007	116680003	363816005	0	0	0
1663736025	300388003	116680003	363662004	0	0	0
650918028	298266002	363698007	39352004	0	1	0
2686660023	414025005	116680003	64572001	0	0	0
3238555026	288122006	260686004	129433002	0	1	2
2257831021	278378007	123005000	281488008	3	0	0
3103520029	118948005	263502005	288524001	1	2	0
2989080021	422076005	246112005	272141005	1	2	0
283108020	83059008	116680003	105789008	0	0	0
1082012025	366671003	363698007	39352004	0	1	0
1671532021	2533004	116680003	363663009	0	0	0
179674020	19787009	116680003	59183004	0	0	0
3104974024	128333008	263502005	288524001	1	2	0
2192021029	77501000	149016008	118677009	2	0	0
2839302024	303526002	116680003	39607008	0	0	0
193363022	2789006	116680003	7748002	0	0	0
2536383029	115668003	116680003	105590001	0	0	0
199058022	31387002	116680003	195967001	0	0	0
1883624021	303402001	272741003	182353008	1	2	0
767113022	38102005	260686004	129304002	0	1	1
824394027	60413009	123005000	128530007	3	0	0
1623229029	304527002	246456000	288526004	1	2	0
1017063025	312130009	246075003	49872002	0	1	0
3192482028	274423009	363701004	105590001	0	1	1
1677229025	52621004	116680003	120200004	0	0	0
553810023	245513001	123005000	361384001	3	0	0
1267479023	80659006	246112005	272141005	1	2	0
2219303029	232339008	116680003	118934005	0	0	0
1912955029	106906000	116680003	363664003	0	0	0
2938734021	102905003	116680003	373572006	0	0	0
1297564024	106190000	246112005	272141005	1	2	0
111584028	290019005	116680003	312415009	0	0	0
181215025	362877004	116680003	361097006	0	0	0
267445028	73410007	116680003	123799005	0	0	0
2689552028	22331004	116680003	413443009	0	0	0
2539009024	118628001	116680003	363660007	0	0	0
1658782021	249308008	116680003	363662004	0	0	0
96732027	278471000	116680003	312416005	0	0	0
242078026	57775008	116680003	66754008	0	0	0
2539777026	312851005	116680003	408767007	0	0	0
313686028	363170005	116680003	128139000	0	0	0
657564027	301226008	363698007	82094008	0	1	0
714029021	17571003	123005000	362205002	3	0	0
1226366020	55449009	260507000	309795001	1	2	0
1586678028	292548001	246112005	272141005	1	2	0
845124029	68534000	123005000	256876008	3	0	0
774820021	41141002	363704007	14742008	0	1	1
423900022	363872004	116680003	363871006	0	0	0
2687576026	415945006	116680003	276885007	0	0	0
2606076026	161523006	408729009	410515003	0	1	1
2470362028	363819003	116680003	363787002	0	0	0
741705026	2789006	123005000	181469002	3	0	0
220832021	44714003	116680003	45653009	0	0	0
2785866024	128989009	405814001	22943007	0	1	2
211069027	367390009	116680003	38341003	0	0	0
162525029	127535004	116680003	65119002	0	0	0
95837024	277775005	116680003	118240005	0	0	0
466085020	200812001	123005000	181216001	3	0	0
2875738028	218972004	246075003	419151007	0	1	0
121625024	297971001	116680003	106076001	0	0	0
26295023	10849003	116680003	118292001	0	0	0
1883586025	303080001	272741003	182353008	1	2	0
2785221021	417076003	116676008	87642003	0	1	1
3228081026	267931000	116680003	128137003	0	0	0
2454232028	42560003	260686004	129284003	0	1	1
3177600027	414823004	116680003	55342001	0	0	0
2570382024	225790006	363714003	363896009	0	1	0
2449673025	41141002	260686004	129284003	0	1	1
298532024	91808001	116680003	2969000	0	0	0
1319368024	125594001	246456000	288526004	1	2	0
3067060026	370219009	363698007	20139000	0	1	0
176541026	18526009	116680003	119523007	0	0	0
106936021	285323007	116680003	82107009	0	0	0
3129677024	236060008	263502005	288524001	1	2	0
793589025	48566001	123005000	243996003	3	0	0
3159340020	44772007	263502005	288524001	1	2	0
3151547022	362965005	263502005	288524001	1	2	0
2553520025	362962008	116680003	363660007	0	0	0
276025020	78718001	116680003	106029005	0	0	0
