DESCRIPTIONID	DESCRIPTIONSTATUS	CONCEPTID	TERM	INITIALCAPITALSTATUS	DESCRIPTIONTYPE	LANGUAGECODE
165018	0	126877002	Disorder of glucose metabolism	0	1	en
323017	0	127035006	Bone marrow disorder	0	1	en
356016	0	127068004	Histiocytic syndrome	0	1	en
358015	0	127070008	Malignant histiocytic disorder	0	1	en
566013	0	127278005	Injury of upper extremity	0	1	en
567016	0	127279002	Injury of lower extremity	0	1	en
619015	0	127331007	Neoplasm by body site	0	1	en
753010	0	127465007	Specimen from gastrointestinal tract	0	1	en
754016	0	127466008	Tissue specimen from gastrointestinal tract	0	1	en
777016	0	127489000	Has active ingredient	0	1	en
822016	0	127535004	Staphylococcus, coagulase positive	1	1	en
1149013	0	127862002	Joint of pelvis	0	2	en
1152017	0	127865000	Blood vessel of head	0	2	en
1155015	0	127868003	Upper digestive tract	0	2	en
1169015	0	127882003	Female genital organ	0	2	en
1190011	0	127903009	Male genital organ	0	2	en
1234011	0	127947003	Surface region	0	2	en
1235012	0	127948008	Upper extremity region	0	2	en
1238014	0	127951001	Lower extremity region	0	2	en
1659010	0	344001	Ankle	0	2	en
1660017	1	344001	Ankle, NOS	0	2	en
1661018	1	344001	Tarsus	0	2	en
1662013	1	344001	Hock, NOS	0	2	en
1663015	0	344001	Hock	0	2	en
1893011	0	485005	Transverse colon	0	2	en
1956018	0	528006	Costal surface of lung	0	2	en
1957010	1	528006	Costal surface of lung, NOS	0	2	en
2168013	0	661005	Jaw	0	2	en
2169017	1	661005	Jaw, NOS	0	2	en
2303011	0	741007	Operation on prostate	0	1	en
2304017	1	741007	Operation on prostate, NOS	0	2	en
2354011	0	774007	Head and neck	0	2	en
2355012	1	774007	Head and neck, NOS	0	2	en
2356013	1	774007	Head and neck region, NOS	0	2	en
2357016	0	774007	Head and neck region	0	2	en
2634015	1	928000	Disease of the musculoskeletal system, NOS	0	2	en
2635019	1	928000	Disorder of the musculoskeletal system, NOS	0	2	en
2687015	0	955009	Bronchus	0	2	en
2688013	1	955009	Bronchus, NOS	0	2	en
2689017	1	955009	Main bronchus, NOS	0	2	en
2833011	0	1040005	Anterior open dislocation	0	1	en
2905012	0	1086007	Female	0	2	en
2906013	1	1086007	Female, NOS	0	2	en
2907016	1	1086007	Female individual, NOS	0	2	en
2908014	0	1086007	Female individual	0	2	en
3135013	0	1201005	Benign essential hypertension	0	1	en
3598016	0	1490004	Soft tissues of trunk	0	2	en
4268018	0	1893007	Joint of upper extremity	0	2	en
4269014	1	1893007	Joint of upper extremity, NOS	0	2	en
4510015	0	2033006	Right fallopian tube	0	2	en
4538011	0	2052000	Acute necrosis	0	1	en
4610012	0	2095001	Accessory sinus	0	2	en
4611011	1	2095001	Accessory sinus, NOS	0	2	en
4612016	1	2095001	Paranasal sinus, NOS	0	2	en
4613014	1	2095001	Nasal sinus, NOS	0	2	en
4614015	0	2095001	Paranasal sinus	0	2	en
4615019	0	2095001	Nasal sinus	0	2	en
4897013	0	2255006	Subserosa	0	1	en
5527017	0	2667000	Absent	0	1	en
5528010	0	2667000	Absence of	0	2	en
5582014	0	2704003	Acute disease	0	1	en
5583016	1	2704003	Acute disease, NOS	0	2	en
5940016	0	2919008	Nausea, vomiting and diarrhea	0	1	en-US
5971013	0	2935001	Poisoning by antiasthmatic	0	1	en
5972018	1	2935001	Poisoning by antiasthmatic, NOS	0	2	en
6038015	0	2969000	Body space	0	2	en
