variant|text
abetalipoproteinaemia|abetalipoproteinemia
acanthamoeba|acanthameba
acanthamoebiasis|acanthamebiasis
acatalasaemia|acatalasemia
acidaemia|acidemia
acroparaesthesia|acroparesthesia
aegophony|egophony
aeroplane|airplane
aesthetic|esthetic
aether|ether
aetiology|etiology
afibrinogenaemia|afibrinogenemia
agammaglobulinaemia|agammaglobulinemia
aggrandisement|aggrandizement
alaninaemia|alaninemia
aleukaemic|aleukemic
alkalaemia|alkalemia
alkalinisation|alkalinization
alkalising|alkalizing
alloimmunisation|alloimmunization
alphalipoproteinaemia|alphalipoproteinemia
aluminium|aluminum
amenorrhoea|amenorrhea
aminolaevulinate|aminolevulinate
amoebae|amebae
amoeba|ameba
amoebiasis|amebiasis
amoebicides|amebicides
amoebic|amebic
amoeboma|ameboma
anaemias|anemias
anaemia|anemia
anaemicus|anemicus
anaemic|anemic
anaesthesia|anesthesia
anaesthesiology|anesthesiology
anaesthetics|anesthetics
anaesthetic|anesthetic
anaesthetised|anesthetized
anaesthetist|anesthetist
anaesthetized|anesthetized
analogues|analogs
analogue|analog
analphaliproteinaemia|analphaliproteinemia
analysers|analyzers
analyser|analyzer
antiamoebic|antiamebic
antianaemic|antianemic
antidiarrhoeal|antidiarrheal
antihaemophilic|antihemophilic
antilipaemic|antilipemic
antioestrogens|antiestrogens
antithrombinaemia|antithrombinemia
apnoea|apnea
apnoeic|apneic
appal|appall
archaeologist|archeologist
argininaemia|argininemia
armour|armor
arylsulphatase|arylsulfatase
asafoetida|asafetida
atomisers|atomizers
atomiser|atomizer
autosensitisation|autosensitization
auxilliary|auxiliary
bacteraemia|bacteremia
barrelled|barreled
behavioural|behavioral
behaviours|behaviors
behaviour|behavior
bisulphate|bisulfate
blenorrhoea|blenorrhea
boloney|baloney
busulphan|busulfan
caecal|cecal
caecitis|cecitis
caecopexy|cecopexy
caecostomy|cecostomy
caecotomy|cecotomy
caecum|cecum
caeruloplasmin|ceruloplasmin
caesarean|cesarean
caesarian|cesarian
caesium|cesium
caldron|cauldron
callisthenics|calisthenics
canalisation|canalization
cancelled|canceled
cantaloup|cantaloupe
carat|karat
carboxyhaemoglobin|carboxyhemoglobin
carnosinaemia|carnosinemia
carotenaemia|carotenemia
catalogue|catalog
catheterisation|catheterization
catheterised|catheterized
catheterise|catheterize
cauterisation|cauterization
cauterised|cauterized
cauterise|cauterize
centilitre|centiliter
centimetre|centimeter
centralisation|centralization
centre|center
centrocaecal|centrocecal
cephalhaematoma|cephalhematoma
cephalohaematoma|cephalohematoma
characterised|characterized
chequebook|checkbook
cheques|checks
cheque|check
chilli|chili
chimaera|chimera
chloridorrhoea|chloridorrhea
cholaemia|cholemia
cholecystoenteric|cholecystenteric
cholecystoenterostomy|cholecystenterostomy
chylocoele|chylocele
citrous|citrus
citrullinaemia|citrullinemia
coeliac|celiac
collumellar|columellar
colourblindness|colorblindness
coloured|colored
colouring|coloring
colourless|colorless
colours|colors
colour|color
computerised|computerized
conceptualisation|conceptualization
conisation|conization
connexion|connection
counselled|counseled
counselling|counseling
counsellors|counselors
counsellor|counselor
cryoglobulinaemia|cryoglobulinemia
cryoglobulinaemic|cryoglobulinemic
cystathioninaemia|cystathioninemia
cystinaemia|cystinemia
cystocoele|cystocele
dacryocoele|dacryocele
decentralised|decentralized
decilitre|deciliter
decimetre|decimeter
defaecate|defecate
defaecating|defecating
defaecation|defecation
deflexion|deflection
deodorising|deodorizing
depersonalisation|depersonalization
depillating|depilating
depolarising|depolarizing
deputising|deputizing
derealisation|derealization
desensitisation|desensitization
desensitising|desensitizing
devascularisation|devascularization
devitalising|devitalizing
diarrhoea|diarrhea
dienoestrol|dienestrol
dientamoeba|dientameba
digitalised|digitalized
dimethylsulphoxide|dimethylsulfoxide
dioptre|diopter
discolouration|discoloration
discoloured|discolored
discolouring|discoloring
discolour|discolor
disconnexion|disconnection
dishevelled|disheveled
dishonourable|dishonorable
disorganised|disorganized
disulphides|disulfides
disulphide|disulfide
dolour|dolor
draughtsman|draftsman
draughty|drafty
draught|draft
dynamisation|dynamization
dysaesthesia|dysesthesia
